Surname,count,percent,min_rank,cume_dist
野村,2377,0.1330984559011275,83,0.12163310765262757
増田,2348,0.13147462114255254,84,0.12309856678097249
吉川,2296,0.12856291743752157,85,0.1245640259093174
武田,2290,0.1282269516254026,86,0.1260294850376623
上野,2289,0.1281709573233828,87,0.1274949441660072
丸山,2277,0.12749902569914484,88,0.12896040329435213
平野,2276,0.12744303139712504,89,0.13042586242269702
小島,2271,0.1271630598870259,90,0.13189132155104194
藤本,2243,0.12559521943047075,91,0.13335678067938686
大塚,2242,0.12553922512845092,92,0.13482223980773178
水野,2228,0.12475530490017336,93,0.13628769893607667
松尾,2224,0.12453132769209405,94,0.1377531580644216
佐野,2213,0.12391539036987598,95,0.1406840763211114
木下,2213,0.12391539036987598,95,0.1406840763211114
高野,2208,0.12363541885977683,97,0.1421495354494563
久保,2198,0.12307547583957855,98,0.14361499457780122
小山,2196,0.12296348723553892,99,0.14508045370614614
川崎,2187,0.12245953851736048,100,0.14654591283449106
服部,2172,0.12161962398706308,101,0.14801137196283595
杉本,2145,0.12010777783252775,102,0.14947683109118087
野口,2140,0.11982780632242863,103,0.1509422902195258
大西,2101,0.1176440285436554,104,0.15240774934787069
工藤,2100,0.11758803424163557,105,0.1538732084762156
辻,2085,0.11674811971133818,106,0.1553386676045605
市川,2072,0.11602019378508042,107,0.15680412673290542
北村,2068,0.11579621657700112,108,0.1582695858612503
西田,2019,0.11305249577802962,109,0.15973504498959526
吉村,2004,0.11221258124773223,110,0.16120050411794015
西川,2000,0.11198860403965293,111,0.16266596324628507
古川,1997,0.11182062113359345,112,0.16413142237462996
岩田,1988,0.11131667241541501,113,0.16559688150297489
関,1967,0.11014079207299866,114,0.1670623406313198
菊池,1955,0.10946886044876072,115,0.1685277997596647
安田,1937,0.10846096301240385,116,0.1714587180163545
李,1937,0.10846096301240385,116,0.1714587180163545
飯田,1936,0.10840496871038403,118,0.17292417714469943
新井,1928,0.10795701429422541,119,0.17438963627304435
菊地,1921,0.10756505418008663,120,0.17585509540138927
島田,1911,0.10700511115988837,121,0.17732055452973416
渡部,1908,0.10683712825382888,122,0.17878601365807908
土屋,1896,0.10616519662959097,123,0.18025147278642398
東,1887,0.10566124791141253,124,0.1817169319147689
尾崎,1881,0.10532528209929357,125,0.1831823910431138
中田,1869,0.10465335047505565,126,0.1846478501714587
山内,1862,0.10426139036091688,127,0.18757876842814855
中西,1862,0.10426139036091688,127,0.18757876842814855
石原,1846,0.10336548152859965,129,0.18904422755649347
平田,1845,0.10330948722657983,130,0.19050968668483836
大橋,1843,0.10319749862254017,131,0.19197514581318328
川口,1842,0.10314150432052034,132,0.19344060494152818
秋山,1841,0.10308551001850053,133,0.1949060640698731
小松,1833,0.1026375556023419,134,0.1978369823265629
堀,1833,0.1026375556023419,134,0.1978369823265629
矢野,1818,0.10179764107204452,136,0.1993024414549078
野田,1808,0.10123769805184624,137,0.20076790058325272
永井,1807,0.10118170374982642,138,0.20369881883994254
馬場,1807,0.10118170374982642,138,0.20369881883994254
内藤,1804,0.10101372084376695,140,0.20516427796828746
吉岡,1798,0.10067775503164798,141,0.20809519622497727
本田,1798,0.10067775503164798,141,0.20809519622497727
松岡,1796,0.10056576642760832,143,0.20956065535332222
千葉,1795,0.10050977212558851,144,0.21102611448166714
浅野,1776,0.09944588038721179,145,0.21395703273835695
樋口,1776,0.09944588038721179,145,0.21395703273835695
森本,1773,0.09927789748115232,147,0.21542249186670184
菅原,1765,0.09882994306499371,148,0.21688795099504676
久保田,1761,0.09860596585691439,149,0.21835341012339166
黒田,1759,0.09849397725287476,150,0.21981886925173658
荒木,1749,0.09793403423267648,151,0.22128432838008147
岡崎,1748,0.09787803993065666,152,0.2227497875084264
福島,1744,0.097654062722577345,153,0.2242152466367713
田口,1742,0.0975420741185377,154,0.2256807057651162
松村,1738,0.0973180969104584,155,0.22714616489346112
松浦,1721,0.09636619377612134,156,0.22861162402180601
川上,1719,0.09625420517208169,157,0.23007708315015094
永田,1708,0.0956382678498636,158,0.23154254227849583
片山,1699,0.09513431913168516,159,0.23300800140684075
松下,1697,0.09502233052764551,160,0.23447346053518564
山中,1695,0.09491034192360585,161,0.2374043787918755
大谷,1695,0.09491034192360585,161,0.2374043787918755
望月,1679,0.09401443309128864,163,0.23886983792022043
小池,1675,0.09379045588320933,164,0.24033529704856532
星野,1674,0.09373446158118949,165,0.24180075617691024
大久保,1656,0.09272656414483263,166,0.24326621530525513
五十嵐,1655,0.0926705698428128,167,0.24473167443360005
三宅,1591,0.0890869345135439,168,0.24619713356194498
